id,title,runtime,year,advertiser,products,mood,video_url,animals,characters,category
2859638,"National Tire & Battery (NTB) TV Commercial, 'Gearing Up: Tire Installation'",30,2020,National Tire & Battery (NTB),"VISA Prepaid, Continental Tire SureContact RX, National Tire & Battery (NTB) Credit Card, Tire Kingdom Credit Card",Active,https://d3npuic909260z.cloudfront.net/002/859/638/npRA.mp4,,,covid
2859682,"Jack in the Box Tiny Tacos TV Commercial, 'Back for Good: 15 for $3'",15,2020,Jack in the Box,"Jack in the Box Tiny Tacos, Jack in the Box Loaded Tiny Tacos",Active,https://d3npuic909260z.cloudfront.net/002/859/682/npRe.mp4,,,covid
2859843,"SimpliSafe TV Commercial, 'Robbert: Set It Up Yourself'",30,2020,SimpliSafe,"SimpliSafe Base Station, SimpliSafe Motion Sensor, SimpliSafe Entry Sensor, SimpliSafe HD Security Camera, SimpliSafe Water Sensor, SimpliSafe Smoke Detector, SimpliSafe Video Doorbell Pro",Active,https://d3npuic909260z.cloudfront.net/002/859/843/npMT.mp4,,,covid
2860303,"Home Instead TV Commercial, 'ION Television: A Closer Look at Family'",30,2020,Home Instead,,Active,https://d3npuic909260z.cloudfront.net/002/860/303/npWE.mp4,,,covid
2860338,"Eargo Father's Day Sale TV Commercial, 'Tune in to What Matters'",60,2020,Eargo,Eargo Neo HiFi,Active,https://d3npuic909260z.cloudfront.net/002/860/338/np_t.mp4,,,covid
2860691,"Ekal Vidyalaya Foundation TV Commercial, 'Fighting Coronavirus'",30,2020,Ekal Vidyalaya Foundation,,Active,https://d3npuic909260z.cloudfront.net/002/860/691/npJi.mp4,,,covid
2860743,"Mercedes-Benz TV Commercial, 'Nothing Less' [T2]",30,2020,Mercedes-Benz,"Mercedes-Benz C-Class, Mercedes-Benz GLE",Active,https://d3npuic909260z.cloudfront.net/002/860/743/npas.mp4,,,covid
2860811,"Volvo Summer of Safety Sales Event TV Commercial, 'Safety Above Everything: XC90' Song by Marti West [T2]",30,2020,Volvo,2020 Volvo XC90 T5 FWD Momentum,Active,https://d3npuic909260z.cloudfront.net/002/860/811/npeH.mp4,,Kids,covid
2860918,"National Tire & Battery TV Commercial, 'Nexen: Instant Savings, No Interest and Mobile Tire Installation'",30,2020,National Tire & Battery (NTB),"National Tire & Battery (NTB) Credit Card, Tire Kingdom Credit Card, Nexen Tire N Priz AH8, Nexen Tire Roadian AT Pro RA8",Active,https://d3npuic909260z.cloudfront.net/002/860/918/npmG.mp4,,,covid
2860979,"Fiverr TV Commercial, 'Connect in Minutes'",30,2020,Fiverr,,Active,https://d3npuic909260z.cloudfront.net/002/860/979/np8g.mp4,,,covid
2860987,"McDonald's TV Commercial, 'Más que desayuno'",15,2020,,,,https://d3npuic909260z.cloudfront.net/002/860/987/np8R.mp4,,,covid
2861162,"National Tire & Battery TV Commercial, 'Gearing Up: $70 Mail-In Rebate on Cooper Tires'",30,2020,National Tire & Battery (NTB),"National Tire & Battery (NTB) Credit Card, Tire Kingdom Credit Card, Cooper Tires Discoverer AT3 XLT",Active,https://d3npuic909260z.cloudfront.net/002/861/162/np31.mp4,,,covid
2861453,"Ford TV Commercial, 'Nosotros construimos' [Spanish] [T2",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/861/453/npvc.mp4,,,covid
2861493,"Dr. Brite Naturals Hand Sanitizer TV Commercial, 'Today's New Normal'",30,2020,Dr. Brite Naturals,"Dr. Brite Naturals Protect Hand Sanitizer, Dr. Brite Naturals Purify Disinfecting Spray",Informational,https://d3npuic909260z.cloudfront.net/002/861/493/np4r.mp4,,,covid
